electrical demand,hot water demand,space heating demand
35.3919,0,204.049
43.6141,0.0398066,206.604
34.9887,0,219.122
35.8712,0,223.309
27.5877,0,228.531
28.6323,0,231.966
31.6177,0,238.251
20.2952,0,237.423
24.0503,0,242.936
29.2875,0,242.35
19.8261,0,245.631
22.0074,0,313.651
26.5624,0,338.892
26.698,0,323.873
25.4507,0,848.057
32.6029,0,796.077
25.5533,0,564.922
36.4379,1.67045,1162.17
41.4766,49.2821,886.331
73.7116,199.137,1071.56
88.4443,47.7693,1177.5
94.7232,76.4794,1130.8
88.8361,50.6616,1013.92
77.6075,13.2493,882.013
79.3981,46.746,739.344
68.4814,19.3813,671.692
83.8694,9.50479,550.899
81.8549,41.9543,634.27
97.5903,37.2975,1063.14
69.5842,9.07322,947.71
71.9605,141.434,930.739
77.8634,46.9937,896.492
68.8355,171.387,870.956
77.8879,630.492,854.447
88.9193,343.324,943.773
114.99,93.68,941.612
246.617,57.4985,972.862
98.1664,15.2053,884.295
91.8306,77.46,877.944
95.5731,19.0213,825.378
68.2928,23.3565,793.365
71.6418,0.571205,621.002
64.9035,1.17102,343.05
63.7386,0.138609,343.17
70.7319,21.3896,216.529
55.5151,14.4478,224.37
52.23,2.55336,235.091
47.1211,0.229925,236.792
46.4206,1.10762,246.979
34.1058,2.36872,249.198
27.2073,0.15637,248.171
28.7606,0,255.018
25.0533,0,253.951
26.4691,0,257.974
26.6653,0,256.205
27.4298,0,249.538
24.871,0,269.024
26.4217,0,305.982
29.3431,0,305.118
24.9897,0.15637,359.232
27.1548,0,421.37
24.6972,0,422.839
30.2025,0.0398066,1003.34
40.8391,10.3549,972.278
36.2609,25.076,979.524
46.481,1.86472,920.584
57.8322,96.1251,896.245
35.0342,50.5222,1044.76
28.5522,91.569,1414.63
26.8234,28.8348,745.833
26.089,99.691,671.966
25.3055,65.4299,690.708
28.5475,29.5817,660.071
29.1586,33.442,593.962
30.1488,16.7973,690.182
32.9258,18.6384,676.423
28.245,34.4471,1116.39
34.6197,3.37439,1055.5
46.6242,15.0668,1078.53
49.3035,67.5879,1030.04
46.2827,188.627,951.636
45.8302,20.2486,948.67
56.549,13.9499,998.17
82.595,86.8166,991.123
92.8631,222.791,1005.05
143.083,492.475,922.762
169.007,19.396,905.946
112.771,8.18624,912.43
71.0886,62.7098,865.185
68.1538,29.1384,561.583
66.1221,0.881794,326.192
73.1587,11.5645,324.963
68.7505,1.99268,225.911
57.3705,9.89352,197.586
52.5717,0.506756,200.974
47.2449,0.0191604,205.829
43.0256,0,196.465
26.0411,0,196.231
31.4039,0,198.3
26.9401,0,202.123
23.5269,0,198.25
28.2098,0,204.632
24.2057,0,201.961
23.3424,0,191.569
22.2933,0,51.3293
26.952,0,176.26
22.7623,0,215.435
27.4446,0,312.805
27.1863,0,406.589
28.8125,0,381.342
31.4884,1.30035,988.538
42.3206,587.1,1117.04
96.5416,38.1792,876.816
44.5701,107.459,832.737
41.5033,21.7014,669.929
37.782,29.0364,637.048
33.1995,101.018,664.264
37.9578,40.2296,550.356
25.8397,16.5745,504.523
34.5972,59.3907,535.97
41.4773,28.9649,1190.4
43.8376,18.9341,743.322
49.4724,27.2737,679.017
44.8514,29.7452,634.606
57.2196,50.38,1044.59
75.7385,156.788,917.991
67.9478,9.5387,848.182
49.2307,7.03172,803.689
52.9792,95.2164,736.551
50.6842,35.162,732.101
70.3704,114.514,773.192
100.708,21.2669,757.852
71.9143,21.1099,801.127
102.526,10.929,730.199
50.1545,64.4985,707.167
53.8341,28.8703,695.326
67.5649,2.12873,830.887
56.2541,7.13402,570.774
69.7427,15.2334,387.988
57.4187,17.5821,364.387
50.3699,28.3899,90.1768
53.1281,196.229,104.143
38.3196,16.3687,164.626
46.6391,0.81233,180.05
38.6864,0,183.261
33.8016,0.221524,187.032
29.3465,0.0390924,201.143
29.8989,0,201.329
28.3504,0,215.905
25.8602,0,215.607
26.1951,0,222.827
25.7164,0,226
27.5736,0,229.61
24.2603,0,239.763
23.9743,0,258.893
26.6761,0,362.469
22.396,0,382.502
29.7058,0.0788991,368.864
31.4327,0.806372,1053.78
35.5716,239.474,1202.33
51.0196,23.3901,893.631
43.6975,201.59,901.663
60.3836,11.5685,719.748
32.7126,24.6282,1288.76
21.3853,89.8787,713.499
44.3963,26.4816,569.623
42.7491,39.0579,510.621
34.7585,80.2332,501.079
34.1501,0.704796,463.029
81.7378,5.78578,447.88
31.3238,16.2201,472.77
45.0215,98.4465,401.833
34.6566,3.09594,982.587
38.0389,17.8376,847.32
39.1643,13.7555,868.083
32.2237,2.34289,853.807
37.9296,3.75869,811.009
32.2682,13.0145,847.365
41.7314,97.0777,881.189
77.6741,8.2152,991.369
67.9139,93.088,1005.23
95.8377,77.0415,938.525
74.3456,22.2558,873.574
62.3094,1.65868,872.958
54.7655,7.62781,823.416
62.0511,11.8785,470.023
50.0945,0.349293,241.021
45.861,0.325087,269.842
46.7155,0.0398066,294.978
37.7402,0.707122,271.241
42.477,4.52699,268.173
32.6429,2.9417,273.011
35.0614,0.569852,270.082
31.0265,0.408755,276.048
24.0004,0.0383208,273.842
31.8337,0,282.128
21.4209,0,279.536
23.8023,0,284.894
26.4201,0,279.012
24.3872,0,283.728
25.8863,0,94.5293
23.6201,0,286.26
25.9507,0,274.065
24.3764,0,376.528
27.2605,0,524.674
27.2168,0,512.746
38.7999,0,971.355
34.4797,580.081,1203.45
101.238,2.97886,1000.19
133.599,50.7231,936.751
34.3935,61.2407,870.82
32.6543,196.045,1373.6
30.2841,130.373,1298.09
33.6872,78.9662,1033.64
35.1452,46.6801,904.092
39.6056,82.7023,916.327
31.5987,10.8364,969.515
37.1408,30.5649,940.878
41.7348,4.69857,908.647
53.0236,30.9582,904.791
46.752,28.4068,1269.82
55.114,94.6561,1223.93
54.5782,1.43054,1138.8
54.731,22.4852,1120.4
51.1891,2.03177,1040.12
60.717,71.8255,1060.15
61.4636,51.0481,1097.2
74.216,88.4691,1083.14
79.7212,25.8076,1088.25
56.0463,5.47969,997.267
60.2082,15.017,955.58
51.083,2.82339,952.653
57.7009,8.31958,891.269
58.4767,1.37914,558.6
53.9648,8.54421,319.065
56.1438,1.25134,323.685
