irradiance_diffuse (W/m2),wind_speed (m/s),ambient_temp,solar electricity,wind electricity
0,10.099,7.964,0,0.739
0,9.396,6.618,0,0.66
0,8.601,5.321,0,0.558
0,7.759,4.356,0,0.444
0,7.399,3.667,0,0.395
0,7.367,3.261,0,0.39
0,7.37,2.976,0,0.391
0,7.396,2.709,0,0.395
0,7.339,2.438,0,0.386
0.027,7.126,2.842,0.112,0.358
0.05,6.653,4.048,0.297,0.297
0.057,6.086,4.876,0.405,0.231
0.058,5.908,5.296,0.425,0.211
0.056,5.921,5.27,0.359,0.212
0.044,6.116,4.464,0.209,0.234
0.011,6.171,2.849,0.036,0.241
0,6.136,1.851,0,0.236
0,6.077,1.325,0,0.23
0,5.987,0.794,0,0.22
0,5.82,0.243,0,0.202
0,5.566,-0.248,0,0.177
0,5.236,-0.624,0,0.146
0,4.912,-0.889,0,0.119
0,4.651,-1.044,0,0.101
0,4.413,-1.12,0,0.084
0,4.197,-1.126,0,0.07
0,4.001,-1.07,0,0.059
0,3.918,-1.078,0,0.055
0,3.946,-1.181,0,0.056
0,4.061,-1.295,0,0.062
0,4.217,-1.402,0,0.071
0,4.317,-1.443,0,0.078
0.001,4.329,-1.403,0,0.078
0.026,4.191,-0.859,0.038,0.07
0.059,3.962,0.055,0.092,0.057
0.08,3.769,0.63,0.126,0.047
0.084,3.644,1.049,0.132,0.041
0.073,3.496,1.174,0.116,0.035
0.049,3.431,0.85,0.081,0.032
0.012,3.433,0.251,0.019,0.032
0,3.573,0.029,0,0.038
0,3.804,0.005,0,0.049
0,4.021,0.025,0,0.06
0,4.225,0.053,0,0.072
0,4.351,0.004,0,0.08
0,4.426,0.005,0,0.085
0,4.495,0.027,0,0.089
0,4.482,0.082,0,0.088
0,4.361,0.182,0,0.08
0,4.19,0.319,0,0.07
0,4.089,0.407,0,0.064
0,4.143,0.428,0,0.068
0,4.489,0.399,0,0.089
0,5.079,0.374,0,0.133
0,5.631,0.434,0,0.183
0,5.964,0.609,0,0.218
0,6.115,0.943,0,0.233
0.023,6.099,1.537,0.022,0.233
0.056,5.814,2.36,0.067,0.201
0.078,5.465,2.979,0.1,0.167
0.082,5.398,3.301,0.105,0.161
0.07,5.534,3.351,0.085,0.174
0.042,5.636,2.948,0.043,0.183
0.008,5.87,2.319,0.004,0.207
0,6.15,2.086,0,0.237
0,6.296,2.015,0,0.254
0,6.317,1.935,0,0.256
0,6.393,1.974,0,0.265
0,6.521,2.074,0,0.281
0,6.478,2.215,0,0.276
0,6.279,2.371,0,0.252
0,6.324,2.645,0,0.258
0,6.541,3.071,0,0.283
0,6.637,3.369,0,0.295
0,6.533,3.47,0,0.282
0,6.356,3.491,0,0.261
0,6.122,3.467,0,0.234
0,6.072,3.442,0,0.229
0,6.113,3.295,0,0.233
0,6.212,3.187,0,0.245
0,6.305,3.025,0,0.255
0.026,6.433,3.082,0.033,0.27
0.065,6.493,3.933,0.116,0.278
0.086,6.498,4.667,0.167,0.278
0.091,6.554,4.729,0.164,0.285
0.071,6.631,4.27,0.092,0.294
0.04,6.673,3.529,0.04,0.3
0.008,6.658,2.716,0.004,0.297
0,6.546,2.051,0,0.284
0,6.36,1.897,0,0.261
0,6.199,1.799,0,0.243
0,6.106,1.7,0,0.233
0,6.085,1.64,0,0.231
0,6.151,1.609,0,0.238
0,6.228,1.616,0,0.247
0,6.303,1.653,0,0.255
0,6.341,1.694,0,0.259
0,6.365,1.719,0,0.263
0,6.388,1.753,0,0.265
0,6.237,1.759,0,0.248
